Density,leniency,index,performance
0,8,0,0.0
0,8,1,0.0
0,8,2,0.0
7,1,0,0.0
7,1,1,0.0
7,1,2,0.17105263157894735
8,5,0,0.0
8,5,1,0.0
8,5,2,0.2421052631578947
2,9,0,0.0
2,9,1,0.0
2,9,2,0.0
6,1,0,0.0
6,1,1,0.0
6,1,2,0.38421052631578945
8,0,0,0.0
8,0,1,0.0
8,0,2,0.0
8,1,0,0.0
8,1,1,0.0
8,1,2,0.21842105263157885
0,13,0,0.0
0,13,1,0.0
0,13,2,0.0
1,4,0,0.0
1,4,1,0.0
1,4,2,0.13157894736842102
4,9,0,0.0
4,9,1,0.0
4,9,2,0.33684210526315794
4,5,0,0.0
4,5,1,0.0
4,5,2,0.5263157894736843
4,8,0,0.0
4,8,1,0.0
4,8,2,0.0
4,1,0,0.0
4,1,1,0.0
4,1,2,0.0
5,0,0,0.0
5,0,1,0.0
5,0,2,0.09999999999999998
7,0,0,0.0
7,0,1,0.0
7,0,2,0.0
2,15,0,0.0
2,15,1,0.0
2,15,2,0.0
3,1,0,0.0
3,1,1,0.0
3,1,2,0.21052631578947356
9,0,0,0.0
9,0,1,0.0
9,0,2,0.0
4,0,0,0.0
4,0,1,0.0
4,0,2,0.0
0,6,0,0.0
0,6,1,0.0
0,6,2,0.0
3,6,0,0.0
3,6,1,0.0
3,6,2,0.2421052631578947
4,2,0,0.0
4,2,1,0.0
4,2,2,0.0
5,2,0,0.0
5,2,1,0.0
5,2,2,0.21842105263157885
2,2,0,0.0
2,2,1,0.0
2,2,2,0.0
5,3,0,0.0
5,3,1,0.0
5,3,2,0.0
6,2,0,0.0
6,2,1,0.0
6,2,2,0.0
4,17,0,0.0
4,17,1,0.0
4,17,2,0.38421052631578945
5,6,0,0.0
5,6,1,0.0
5,6,2,0.2421052631578947
2,11,0,0.0
2,11,1,0.0
2,11,2,0.0
7,2,0,0.0
7,2,1,0.0
7,2,2,0.14736842105263148
0,5,0,0.0
0,5,1,0.0
0,5,2,0.0
13,1,0,0.0
13,1,1,0.0
13,1,2,0.0
10,4,0,0.0
10,4,1,0.0
10,4,2,0.0
7,4,0,0.0
7,4,1,0.0
7,4,2,0.0
5,1,0,0.0
5,1,1,0.0
5,1,2,0.55
10,0,0,0.0
10,0,1,0.0
10,0,2,0.0
4,6,0,0.0
4,6,1,0.0
4,6,2,0.2799999999999999
14,3,0,0.0
14,3,1,0.0
14,3,2,0.0
3,4,0,0.0
3,4,1,0.0
3,4,2,0.0
2,8,0,0.0
2,8,1,0.0
2,8,2,0.0
3,2,0,0.0
3,2,1,0.0
3,2,2,0.668421052631579
0,10,0,0.0
0,10,1,0.0
0,10,2,0.0
9,2,0,0.0
9,2,1,0.0
9,2,2,0.09999999999999998
3,3,0,0.0
3,3,1,0.0
3,3,2,0.0
1,7,0,0.0
1,7,1,0.0
1,7,2,0.0
3,13,0,0.0
3,13,1,0.0
3,13,2,0.0
0,7,0,0.0
0,7,1,0.0
0,7,2,0.0
0,2,0,0.0
0,2,1,0.0
0,2,2,0.0
6,3,0,0.0
6,3,1,0.0
6,3,2,0.0
2,5,0,0.0
2,5,1,0.0
2,5,2,0.0
2,0,0,0.0
2,0,1,0.0
2,0,2,0.0
1,11,0,0.0
1,11,1,0.0
1,11,2,0.17105263157894735
0,14,0,0.0
0,14,1,0.0
0,14,2,0.0
5,4,0,0.0
5,4,1,0.0
5,4,2,0.0
5,7,0,0.0
5,7,1,0.0
5,7,2,0.09999999999999998
2,6,0,0.0
2,6,1,0.0
2,6,2,0.0
3,17,0,0.0
3,17,1,0.0
3,17,2,0.14736842105263148
2,4,0,0.0
2,4,1,0.0
2,4,2,0.2657894736842106
4,3,0,0.0
4,3,1,0.0
4,3,2,0.0
6,0,0,0.0
6,0,1,0.0
6,0,2,0.0
1,9,0,0.0
1,9,1,0.0
1,9,2,0.0
3,0,0,0.0
3,0,1,0.0
3,0,2,0.0
4,11,0,0.0
4,11,1,0.0
4,11,2,0.0
2,16,0,0.0
2,16,1,0.0
2,16,2,0.43157894736842095
5,8,0,0.0
5,8,1,0.0
5,8,2,0.0
9,4,0,0.0
9,4,1,0.0
9,4,2,0.0
10,2,0,0.0
10,2,1,0.0
10,2,2,0.14736842105263148
3,5,0,0.0
3,5,1,0.0
3,5,2,0.1947368421052631
2,3,0,0.0
2,3,1,0.0
2,3,2,0.0
12,1,0,0.0
12,1,1,0.0
12,1,2,0.0
10,1,0,0.0
10,1,1,0.0
10,1,2,0.0
3,15,0,0.0
3,15,1,0.0
3,15,2,0.09999999999999998
