density,leniency,index,performance
16,2,0,0.0
16,2,1,0.0
16,2,2,0.5357142857142857
16,7,0,0.0
16,7,1,0.0
16,7,2,0.6428571428571428
11,3,0,0.0
11,3,1,0.0
11,3,2,0.7857142857142857
26,2,0,0.0
26,2,1,0.0
26,2,2,0.6785714285714286
17,3,0,0.0
17,3,1,0.0
17,3,2,0.6785714285714286
13,1,0,0.0
13,1,1,0.0
13,1,2,0.8214285714285714
15,0,0,0.0
15,0,1,0.0
15,0,2,0.7142857142857143
24,3,0,0.0
24,3,1,0.0
24,3,2,0.0
27,1,0,0.0
27,1,1,0.0
27,1,2,0.6428571428571428
25,3,0,0.0
25,3,1,0.0
25,3,2,0.6071428571428572
19,3,0,0.0
19,3,1,0.0
19,3,2,0.7857142857142857
9,4,0,0.0
9,4,1,0.0
9,4,2,0.7142857142857143
18,1,0,0.0
18,1,1,0.0
18,1,2,0.4642857142857143
20,2,0,0.0
20,2,1,0.0
20,2,2,0.8214285714285714
10,4,0,0.0
10,4,1,0.0
10,4,2,0.5
20,1,0,0.0
20,1,1,0.0
20,1,2,0.7142857142857143
17,2,0,0.0
17,2,1,0.0
17,2,2,0.75
31,6,0,0.0
31,6,1,0.0
31,6,2,0.5
11,4,0,0.0
11,4,1,0.0
11,4,2,0.8214285714285714
5,3,0,0.0
5,3,1,0.0
5,3,2,0.8214285714285714
8,3,0,0.0
8,3,1,0.0
8,3,2,0.75
12,1,0,0.0
12,1,1,0.0
12,1,2,0.8214285714285714
7,4,0,0.0
7,4,1,0.0
7,4,2,0.8214285714285714
17,1,0,0.0
17,1,1,0.0
17,1,2,0.6071428571428572
19,2,0,0.0
19,2,1,0.0
19,2,2,0.6428571428571428
25,4,0,0.0
25,4,1,0.0
25,4,2,0.3928571428571429
14,3,0,0.0
14,3,1,0.0
14,3,2,0.5357142857142857
31,2,0,0.0
31,2,1,0.0
31,2,2,0.5
30,2,0,0.0
30,2,1,0.0
30,2,2,0.6785714285714286
20,3,0,0.0
20,3,1,0.0
20,3,2,0.5357142857142857
23,4,0,0.0
23,4,1,0.0
23,4,2,0.7857142857142857
22,2,0,0.0
22,2,1,0.0
22,2,2,0.8214285714285714
10,1,0,0.0
10,1,1,0.0
10,1,2,0.5357142857142857
12,2,0,0.0
12,2,1,0.0
12,2,2,0.7142857142857143
21,2,0,0.0
21,2,1,0.0
21,2,2,0.5357142857142857
15,1,0,0.0
15,1,1,0.0
15,1,2,0.5
15,3,0,0.0
15,3,1,0.0
15,3,2,0.6785714285714286
24,0,0,0.0
24,0,1,0.0
24,0,2,0.4285714285714286
17,0,0,0.0
17,0,1,0.0
17,0,2,0.8214285714285714
14,1,0,0.0
14,1,1,0.0
14,1,2,0.75
20,4,0,0.0
20,4,1,0.0
20,4,2,0.75
7,6,0,0.0
7,6,1,0.0
7,6,2,0.1785714285714286
19,1,0,0.0
19,1,1,0.0
19,1,2,0.6785714285714286
32,2,0,0.0
32,2,1,0.0
32,2,2,0.75
14,6,0,0.0
14,6,1,0.0
14,6,2,0.6428571428571428
18,4,0,0.0
18,4,1,0.0
18,4,2,0.75
38,3,0,0.0
38,3,1,0.0
